"File","Lang","Word","GroupId","MeaningsCount"
"dreams_batch_1.json","Русский","абажур","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абат","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абонемент","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абонент","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абордаж","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абориген","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","аборт","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абракадабра","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абрикос","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абсент","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абстракция","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","абсурд","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авангард","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","аванс","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авантюра","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авантюрин","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авария","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","август","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авеню","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авиатор","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автобан","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автобиография","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автобус","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автограф","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автомат","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автомобиль","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автономия","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","автор","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","авторитет","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","агат","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","агент","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","агнец","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","агония","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","агрессия","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","агроном","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","ад","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","адажио","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","адаптация","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","адвокат","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","адмирал","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","азарт","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","азимут","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
"dreams_batch_1.json","Русский","аист","legacy","1"
"dreams_batch_1.json","English","legacy-en","legacy","1"
"dreams_batch_1.json","O'zbek","legacy-uz","legacy","1"
